year,round,result,game_diff,score,final
1,1,-1,-1,,Player did not play this match
1,2,-1,-1,,Player did not play this match
1,3,-1,-1,,Player did not play this match
1,4,-1,-1,,Player did not play this match
1,5,-1,-1,,Player did not play this match
1,6,-1,-1,,Player did not play this match
1,7,-1,-1,,Player did not play this match
2,1,-1,-1,,Player did not play this match
2,2,-1,-1,,Player did not play this match
2,3,-1,-1,,Player did not play this match
2,4,-1,-1,,Player did not play this match
2,5,-1,-1,,Player did not play this match
2,6,-1,-1,,Player did not play this match
2,7,-1,-1,,Player did not play this match
3,1,0,11,6-1 6-3 6-3,Juan Ignacio Chela beat Andy Murray
3,2,-1,-1,,Player did not play this match
3,3,-1,-1,,Player did not play this match
3,4,-1,-1,,Player did not play this match
3,5,-1,-1,,Player did not play this match
3,6,-1,-1,,Player did not play this match
3,7,-1,-1,,Player did not play this match
4,1,1,17,6-0 6-0 6-1,Andy Murray beat Alberto Martin
4,2,1,5,7-6(4) 7-5 6-4,Andy Murray beat Fernando Verdasco
4,3,1,9,6-3 6-2 6-4,Andy Murray beat Juan Ignacio Chela
4,4,0,7,6-7(3) 6-4 4-6 6-3 6-1,Rafael Nadal beat Andy Murray
4,5,-1,-1,,Player did not play this match
4,6,-1,-1,,Player did not play this match
4,7,-1,-1,,Player did not play this match
5,1,0,-1,7-5 6-4 0-6 7-6(5),Jo-Wilfried Tsonga beat Andy Murray
5,2,-1,-1,,Player did not play this match
5,3,-1,-1,,Player did not play this match
5,4,-1,-1,,Player did not play this match
5,5,-1,-1,,Player did not play this match
5,6,-1,-1,,Player did not play this match
5,7,-1,-1,,Player did not play this match
6,1,1,6,6-2 3-1 ret.,Andy Murray beat Andrei Pavel
6,2,1,10,6-4 6-2 6-2,Andy Murray beat Marcel Granollers
6,3,1,11,7-5 6-0 6-3,Andy Murray beat Jurgen Melzer
6,4,0,1,2-6 6-1 1-6 6-3 6-4,Fernando Verdasco beat Andy Murray
6,5,-1,-1,,Player did not play this match
6,6,-1,-1,,Player did not play this match
6,7,-1,-1,,Player did not play this match
7,1,1,14,6-1 6-1 6-2,Andy Murray beat Kevin Anderson
7,2,1,10,6-1 6-4 6-3,Andy Murray beat Marc Gicquel
7,3,1,9,7-5 6-1 6-4,Andy Murray beat Florent Serra
7,4,1,8,7-6(4) 6-3 6-2,Andy Murray beat John Isner
7,5,1,7,6-3 7-6(2) 3-0 ret.,Andy Murray beat Rafael Nadal
7,6,1,5,3-6 6-4 6-4 6-2,Andy Murray beat Marin Cilic
7,7,0,6,6-3 6-4 7-6(11),Roger Federer beat Andy Murray
8,1,1,10,6-3 6-1 4-2 ret.,Andy Murray beat Karol Beck
8,2,1,11,6-1 6-3 6-3,Andy Murray beat Illya Marchenko
8,3,1,14,6-1 6-1 6-2,Andy Murray beat Guillermo Garcia-Lopez
8,4,1,13,6-3 6-1 6-1,Andy Murray beat Jurgen Melzer
8,5,1,7,7-5 6-3 6-7(3) 6-3,Andy Murray beat Alexandr Dolgopolov
8,6,1,-1,4-6 7-6(2) 6-1 7-6(2),Andy Murray beat David Ferrer
8,7,0,9,6-4 6-2 6-3,Novak Djokovic beat Andy Murray
9,1,1,7,4-6 6-3 6-4 6-2,Andy Murray beat Ryan Harrison
9,2,1,9,6-1 6-4 6-4,Andy Murray beat Edouard Roger-Vasselin
9,3,1,12,6-4 6-2 6-0,Andy Murray beat Michael Llodra
9,4,1,11,6-1 6-1 1-0 ret.,Andy Murray beat Mikhail Kukushkin
9,5,1,11,6-3 6-3 6-1,Andy Murray beat Kei Nishikori
9,6,0,6,6-3 3-6 6-7(4) 6-1 7-5,Novak Djokovic beat Andy Murray
9,7,-1,-1,,Player did not play this match
10,1,1,11,6-3 6-1 6-3,Andy Murray beat Robin Haase
10,2,1,10,6-2 6-2 6-4,Andy Murray beat Joao Sousa
10,3,1,7,6-3 6-4 7-5,Andy Murray beat Richard Berankis
10,4,1,11,6-3 6-1 6-3,Andy Murray beat Gilles Simon
10,5,1,11,6-4 6-1 6-2,Andy Murray beat Jeremy Chardy
10,6,1,5,6-4 6-7(5) 6-3 6-7(2) 6-2,Andy Murray beat Roger Federer
10,7,0,6,6-7(2) 7-6(3) 6-3 6-2,Novak Djokovic beat Andy Murray
11,1,1,13,6-1 6-1 6-3,Andy Murray beat Go Soeda
11,2,1,10,6-2 6-2 7-5,Andy Murray beat Vincent Millot
11,3,1,7,7-6(2) 6-4 6-2,Andy Murray beat Feliciano Lopez
11,4,1,12,6-1 6-2 6-7(6) 6-2,Andy Murray beat Stephane Robert
11,5,0,7,6-3 6-4 6-7(6) 6-3,Roger Federer beat Andy Murray
11,6,-1,-1,,Player did not play this match
11,7,-1,-1,,Player did not play this match
