year,round,result,game_diff,score,final
1,1,1,7,6-2 7-5 7-6(4),Andy Roddick beat Fernando Gonzalez
1,2,1,11,6-2 6-2 6-3,Andy Roddick beat Bohdan Ulihrach
1,3,1,14,6-2 6-0 6-2,Andy Roddick beat Taylor Dent
1,4,1,12,6-1 6-2 6-3,Andy Roddick beat Sjeng Schalken
1,5,0,2,2-6 6-3 7-5 6-7(0) 6-4,Marat Safin beat Andy Roddick
1,6,-1,-1,,Player did not play this match
1,7,-1,-1,,Player did not play this match
2,1,1,11,7-5 6-2 6-1,Andy Roddick beat Irakli Labadze
2,2,1,10,6-0 3-6 6-2 6-3,Andy Roddick beat Greg Rusedski
2,3,1,10,6-2 6-2 7-5,Andy Roddick beat Jurgen Melzer
2,4,1,9,6-3 7-6(6) 6-1,Andy Roddick beat Philipp Kohlschreiber
2,5,1,8,6-3 7-5 4-1 ret.,Andy Roddick beat Nikolay Davydenko
2,6,0,3,3-6 7-6(3) 7-6(4) 6-1,Lleyton Hewitt beat Andy Roddick
2,7,-1,-1,,Player did not play this match
3,1,1,10,6-4 6-2 6-2,Andy Roddick beat Michael Lammer
3,2,1,9,7-5 6-3 6-2,Andy Roddick beat Wesley Moodie
3,3,1,13,6-1 6-2 6-2,Andy Roddick beat Julien Benneteau
3,4,0,2,6-4 1-6 6-3 6-4,Marcos Baghdatis beat Andy Roddick
3,5,-1,-1,,Player did not play this match
3,6,-1,-1,,Player did not play this match
3,7,-1,-1,,Player did not play this match
4,1,1,5,6-7(18) 7-6(2) 6-3 6-3,Andy Roddick beat Jo-Wilfried Tsonga
4,2,1,6,6-3 7-6(4) 6-4,Andy Roddick beat Marc Gicquel
4,3,1,1,7-6(2) 2-6 6-4 7-6(2),Andy Roddick beat Marat Safin
4,4,1,5,6-3 3-6 6-1 5-7 6-4,Andy Roddick beat Mario Ancic
4,5,1,12,6-2 6-2 6-2,Andy Roddick beat Mardy Fish
4,6,0,12,6-4 6-0 6-2,Roger Federer beat Andy Roddick
4,7,-1,-1,,Player did not play this match
5,1,1,7,6-3 6-4 7-5,Andy Roddick beat Lukas Dlouhy
5,2,1,10,6-2 6-2 6-4,Andy Roddick beat Michael Berrer
5,3,0,2,6-4 3-6 7-6(9) 6-7(3) 8-6,Philipp Kohlschreiber beat Andy Roddick
5,4,-1,-1,,Player did not play this match
5,5,-1,-1,,Player did not play this match
5,6,-1,-1,,Player did not play this match
5,7,-1,-1,,Player did not play this match
6,1,1,14,6-0 6-2 6-2,Andy Roddick beat Bjorn Rehnquist
6,2,1,7,4-6 6-2 7-6(1) 6-2,Andy Roddick beat Xavier Malisse
6,3,1,9,6-3 6-4 6-2,Andy Roddick beat Fabrice Santoro
6,4,1,10,7-5 6-1 6-3,Andy Roddick beat Tommy Robredo
6,5,1,6,6-7(3) 6-4 6-2 2-1 ret.,Andy Roddick beat Novak Djokovic
6,6,0,8,6-2 7-5 7-5,Roger Federer beat Andy Roddick
6,7,-1,-1,,Player did not play this match
7,1,1,9,6-1 6-4 6-4,Andy Roddick beat Thiemo de Bakker
7,2,1,7,6-3 6-4 6-4,Andy Roddick beat Thomaz Bellucci
7,3,1,-1,6-7(4) 6-4 6-4 7-6(3),Andy Roddick beat Feliciano Lopez
7,4,1,4,6-3 3-6 4-6 7-5 6-2,Andy Roddick beat Fernando Gonzalez
7,5,0,0,7-6(4) 6-3 3-6 2-6 6-3,Marin Cilic beat Andy Roddick
7,6,-1,-1,,Player did not play this match
7,7,-1,-1,,Player did not play this match
8,1,1,13,6-1 6-2 6-2,Andy Roddick beat Jan Hajek
8,2,1,8,7-6(7) 6-2 6-3,Andy Roddick beat Igor Kunitsyn
8,3,1,5,2-6 7-6(2) 6-2 6-2,Andy Roddick beat Robin Haase
8,4,0,7,6-3 6-4 6-4,Stanislas Wawrinka beat Andy Roddick
8,5,-1,-1,,Player did not play this match
8,6,-1,-1,,Player did not play this match
8,7,-1,-1,,Player did not play this match
9,1,1,10,6-3 6-4 6-1,Andy Roddick beat Robin Haase
9,2,0,2,3-6 6-3 6-4 ret.,Lleyton Hewitt beat Andy Roddick
9,3,-1,-1,,Player did not play this match
9,4,-1,-1,,Player did not play this match
9,5,-1,-1,,Player did not play this match
9,6,-1,-1,,Player did not play this match
9,7,-1,-1,,Player did not play this match
10,1,-1,-1,,Player did not play this match
10,2,-1,-1,,Player did not play this match
10,3,-1,-1,,Player did not play this match
10,4,-1,-1,,Player did not play this match
10,5,-1,-1,,Player did not play this match
10,6,-1,-1,,Player did not play this match
10,7,-1,-1,,Player did not play this match
11,1,-1,-1,,Player did not play this match
11,2,-1,-1,,Player did not play this match
11,3,-1,-1,,Player did not play this match
11,4,-1,-1,,Player did not play this match
11,5,-1,-1,,Player did not play this match
11,6,-1,-1,,Player did not play this match
11,7,-1,-1,,Player did not play this match
