year,round,result,game_diff,score,final
1,1,-1,-1,,Player did not play this match
1,2,-1,-1,,Player did not play this match
1,3,-1,-1,,Player did not play this match
1,4,-1,-1,,Player did not play this match
1,5,-1,-1,,Player did not play this match
1,6,-1,-1,,Player did not play this match
1,7,-1,-1,,Player did not play this match
2,1,0,15,6-0 6-2 6-1,Marat Safin beat Novak Djokovic
2,2,-1,-1,,Player did not play this match
2,3,-1,-1,,Player did not play this match
2,4,-1,-1,,Player did not play this match
2,5,-1,-1,,Player did not play this match
2,6,-1,-1,,Player did not play this match
2,7,-1,-1,,Player did not play this match
3,1,0,6,6-2 1-6 6-3 6-2,Paul Goldstein beat Novak Djokovic
3,2,-1,-1,,Player did not play this match
3,3,-1,-1,,Player did not play this match
3,4,-1,-1,,Player did not play this match
3,5,-1,-1,,Player did not play this match
3,6,-1,-1,,Player did not play this match
3,7,-1,-1,,Player did not play this match
4,1,1,16,6-1 6-1 6-0,Novak Djokovic beat Nicolas Massu
4,2,1,11,6-2 7-5 6-1,Novak Djokovic beat Feliciano Lopez
4,3,1,8,6-3 6-4 5-7 6-1,Novak Djokovic beat Danai Udomchoke
4,4,0,9,6-2 7-5 6-3,Roger Federer beat Novak Djokovic
4,5,-1,-1,,Player did not play this match
4,6,-1,-1,,Player did not play this match
4,7,-1,-1,,Player did not play this match
5,1,1,11,6-0 6-2 7-6(5),Novak Djokovic beat Benjamin Becker
5,2,1,13,6-1 6-2 6-2,Novak Djokovic beat Simone Bolelli
5,3,1,11,6-3 6-1 6-3,Novak Djokovic beat Sam Querrey
5,4,1,8,7-5 6-3 6-3,Novak Djokovic beat Lleyton Hewitt
5,5,1,11,6-0 6-3 7-5,Novak Djokovic beat David Ferrer
5,6,1,6,7-5 6-3 7-6(5),Novak Djokovic beat Roger Federer
5,7,1,4,4-6 6-4 6-3 7-6(2),Novak Djokovic beat Jo-Wilfried Tsonga
6,1,1,9,6-2 6-3 7-5,Novak Djokovic beat Andrea Stoppini
6,2,1,10,7-5 6-1 6-3,Novak Djokovic beat Jeremy Chardy
6,3,1,6,6-2 4-6 6-3 7-6(4),Novak Djokovic beat Amer Delic
6,4,1,10,6-1 7-6(1) 6-7(5) 6-2,Novak Djokovic beat Marcos Baghdatis
6,5,0,6,6-7(3) 6-4 6-2 2-1 ret.,Andy Roddick beat Novak Djokovic
6,6,-1,-1,,Player did not play this match
6,7,-1,-1,,Player did not play this match
7,1,1,9,7-5 6-3 6-2,Novak Djokovic beat Daniel Gimeno-Traver
7,2,1,10,3-6 6-1 6-1 6-3,Novak Djokovic beat Marco Chiudinelli
7,3,1,14,6-1 6-1 6-2,Novak Djokovic beat Denis Istomin
7,4,1,11,6-1 6-2 7-5,Novak Djokovic beat Lukasz Kubot
7,5,0,4,7-6(8) 6-7(5) 1-6 6-3 6-1,Jo-Wilfried Tsonga beat Novak Djokovic
7,6,-1,-1,,Player did not play this match
7,7,-1,-1,,Player did not play this match
8,1,1,13,6-1 6-3 6-1,Novak Djokovic beat Marcel Granollers
8,2,1,11,7-5 6-7(8) 6-0 6-2,Novak Djokovic beat Ivan Dodig
8,3,1,4,6-2 ret.,Novak Djokovic beat Viktor Troicki
8,4,1,11,6-3 6-4 6-0,Novak Djokovic beat Nicolas Almagro
8,5,1,11,6-1 7-6(5) 6-1,Novak Djokovic beat Tomas Berdych
8,6,1,5,7-6(3) 7-5 6-4,Novak Djokovic beat Roger Federer
8,7,1,9,6-4 6-2 6-3,Novak Djokovic beat Andy Murray
9,1,1,16,6-2 6-0 6-0,Novak Djokovic beat Paolo Lorenzi
9,2,1,12,6-3 6-2 6-1,Novak Djokovic beat Santiago Giraldo
9,3,1,16,6-0 6-1 6-1,Novak Djokovic beat Nicolas Mahut
9,4,1,9,6-1 6-3 4-6 6-3,Novak Djokovic beat Lleyton Hewitt
9,5,1,8,6-4 7-6(4) 6-1,Novak Djokovic beat David Ferrer
9,6,1,6,6-3 3-6 6-7(4) 6-1 7-5,Novak Djokovic beat Andy Murray
9,7,1,5,5-7 6-4 6-2 6-7(5) 7-5,Novak Djokovic beat Rafael Nadal
10,1,1,8,6-2 6-4 7-5,Novak Djokovic beat Paul-Henri Mathieu
10,2,1,12,6-1 6-2 6-3,Novak Djokovic beat Ryan Harrison
10,3,1,7,6-4 6-3 7-5,Novak Djokovic beat Radek Stepanek
10,4,1,0,1-6 7-5 6-4 6-7(5) 12-10,Novak Djokovic beat Stanislas Wawrinka
10,5,1,10,6-1 4-6 6-1 6-4,Novak Djokovic beat Tomas Berdych
10,6,1,13,6-2 6-2 6-1,Novak Djokovic beat David Ferrer
10,7,1,6,6-7(2) 7-6(3) 6-3 6-2,Novak Djokovic beat Andy Murray
11,1,1,9,6-3 7-6(2) 6-1,Novak Djokovic beat Lukas Lacko
11,2,1,10,6-0 6-4 6-4,Novak Djokovic beat Leonardo Mayer
11,3,1,8,6-3 6-3 7-5,Novak Djokovic beat Denis Istomin
11,4,1,13,6-3 6-0 6-2,Novak Djokovic beat Fabio Fognini
11,5,0,1,2-6 6-4 6-2 3-6 9-7,Stanislas Wawrinka beat Novak Djokovic
11,6,-1,-1,,Player did not play this match
11,7,-1,-1,,Player did not play this match
