year,round,result,game_diff,score,final
1,1,1,13,6-1 6-2 6-2,Rafael Nadal beat Michal Tabara
1,2,1,6,6-4 3-6 7-5 6-1,Rafael Nadal beat Thierry Ascione
1,3,0,5,7-6(2) 7-6(5) 6-2,Lleyton Hewitt beat Rafael Nadal
1,4,-1,-1,,Player did not play this match
1,5,-1,-1,,Player did not play this match
1,6,-1,-1,,Player did not play this match
1,7,-1,-1,,Player did not play this match
2,1,1,12,6-0 6-4 6-2,Rafael Nadal beat Julien Benneteau
2,2,1,6,6-1 4-6 4-6 7-5 6-3,Rafael Nadal beat Mikhail Youzhny
2,3,1,13,6-1 6-1 6-3,Rafael Nadal beat Bobby Reynolds
2,4,0,-1,7-5 3-6 1-6 7-6(3) 6-2,Lleyton Hewitt beat Rafael Nadal
2,5,-1,-1,,Player did not play this match
2,6,-1,-1,,Player did not play this match
2,7,-1,-1,,Player did not play this match
3,1,-1,-1,,Player did not play this match
3,2,-1,-1,,Player did not play this match
3,3,-1,-1,,Player did not play this match
3,4,-1,-1,,Player did not play this match
3,5,-1,-1,,Player did not play this match
3,6,-1,-1,,Player did not play this match
3,7,-1,-1,,Player did not play this match
4,1,1,8,7-6(6) 6-3 6-2,Rafael Nadal beat Robert Kendrick
4,2,1,7,7-5 6-3 4-6 6-2,Rafael Nadal beat Philipp Kohlschreiber
4,3,1,12,6-2 6-2 6-2,Rafael Nadal beat Stanislas Wawrinka
4,4,1,7,6-7(3) 6-4 4-6 6-3 6-1,Rafael Nadal beat Andy Murray
4,5,0,9,6-2 6-4 6-3,Fernando Gonzalez beat Rafael Nadal
4,6,-1,-1,,Player did not play this match
4,7,-1,-1,,Player did not play this match
5,1,1,8,7-6(3) 7-5 6-1,Rafael Nadal beat Viktor Troicki
5,2,1,14,6-0 6-2 6-2,Rafael Nadal beat Florent Serra
5,3,1,9,7-5 6-2 6-3,Rafael Nadal beat Gilles Simon
5,4,1,5,6-4 3-0 ret.,Rafael Nadal beat Paul-Henri Mathieu
5,5,1,10,7-5 6-3 6-1,Rafael Nadal beat Jarkko Nieminen
5,6,0,11,6-2 6-3 6-2,Jo-Wilfried Tsonga beat Rafael Nadal
5,7,-1,-1,,Player did not play this match
6,1,1,14,6-0 6-2 6-2,Rafael Nadal beat Christophe Rochus
6,2,1,11,6-2 6-3 6-2,Rafael Nadal beat Roko Karanusic
6,3,1,10,6-4 6-2 6-2,Rafael Nadal beat Tommy Haas
6,4,1,9,6-3 6-2 6-4,Rafael Nadal beat Fernando Gonzalez
6,5,1,8,6-2 7-5 7-5,Rafael Nadal beat Gilles Simon
6,6,1,1,6-7(4) 6-4 7-6(2) 6-7(1) 6-4,Rafael Nadal beat Fernando Verdasco
6,7,1,1,7-5 3-6 7-6(3) 3-6 6-2,Rafael Nadal beat Roger Federer
7,1,1,8,7-6(0) 6-1 6-4,Rafael Nadal beat Peter Luczak
7,2,1,12,6-2 6-2 6-2,Rafael Nadal beat Lukas Lacko
7,3,1,4,6-4 6-2 2-6 7-5,Rafael Nadal beat Philipp Kohlschreiber
7,4,1,4,6-4 4-6 6-4 6-4,Rafael Nadal beat Ivo Karlovic
7,5,0,7,6-3 7-6(2) 3-0 ret.,Andy Murray beat Rafael Nadal
7,6,-1,-1,,Player did not play this match
7,7,-1,-1,,Player did not play this match
8,1,1,11,6-0 5-0 ret.,Rafael Nadal beat Marcos Daniel
8,2,1,14,6-2 6-1 6-1,Rafael Nadal beat Ryan Sweeting
8,3,1,9,6-2 7-5 6-3,Rafael Nadal beat Bernard Tomic
8,4,1,9,6-2 6-4 6-3,Rafael Nadal beat Marin Cilic
8,5,0,9,6-4 6-2 6-3,David Ferrer beat Rafael Nadal
8,6,-1,-1,,Player did not play this match
8,7,-1,-1,,Player did not play this match
9,1,1,12,6-4 6-1 6-1,Rafael Nadal beat Alex Kuznetsov
9,2,1,7,6-4 6-3 6-4,Rafael Nadal beat Tommy Haas
9,3,1,10,6-2 6-4 6-2,Rafael Nadal beat Lukas Lacko
9,4,1,8,6-4 6-4 6-2,Rafael Nadal beat Feliciano Lopez
9,5,1,4,6-7(5) 7-6(6) 6-4 6-3,Rafael Nadal beat Tomas Berdych
9,6,1,1,6-7(5) 6-2 7-6(5) 6-4,Rafael Nadal beat Roger Federer
9,7,0,5,5-7 6-4 6-2 6-7(5) 7-5,Novak Djokovic beat Rafael Nadal
10,1,-1,-1,,Player did not play this match
10,2,-1,-1,,Player did not play this match
10,3,-1,-1,,Player did not play this match
10,4,-1,-1,,Player did not play this match
10,5,-1,-1,,Player did not play this match
10,6,-1,-1,,Player did not play this match
10,7,-1,-1,,Player did not play this match
11,1,1,2,6-4 ret.,Rafael Nadal beat Bernard Tomic
11,2,1,10,6-2 6-4 6-2,Rafael Nadal beat Thanasi Kokkinakis
11,3,1,12,6-1 6-2 6-3,Rafael Nadal beat Gael Monfils
11,4,1,1,7-6(3) 7-5 7-6(3),Rafael Nadal beat Kei Nishikori
11,5,1,2,3-6 7-6(3) 7-6(7) 6-2,Rafael Nadal beat Grigor Dimitrov
11,6,1,7,7-6(4) 6-3 6-3,Rafael Nadal beat Roger Federer
11,7,0,7,6-3 6-2 3-6 6-3,Stanislas Wawrinka beat Rafael Nadal
