year,round,result,game_diff,score,final
1,1,1,11,6-3 6-4 6-0,Roger Federer beat Alex Jr. Bogomolov
1,2,1,9,6-2 6-3 6-4,Roger Federer beat Jeff Morrison
1,3,1,14,6-3 6-0 6-1,Roger Federer beat Todd Reid
1,4,1,9,4-6 6-3 6-0 6-4,Roger Federer beat Lleyton Hewitt
1,5,1,5,7-5 6-4 5-7 6-3,Roger Federer beat David Nalbandian
1,6,1,9,6-4 6-1 6-4,Roger Federer beat Juan Carlos Ferrero
1,7,1,7,7-6(3) 6-4 6-2,Roger Federer beat Marat Safin
2,1,1,14,6-1 6-1 6-2,Roger Federer beat Fabrice Santoro
2,2,1,7,6-3 6-4 6-4,Roger Federer beat Takao Suzuki
2,3,1,6,6-3 5-2 ret.,Roger Federer beat Jarkko Nieminen
2,4,1,9,6-2 6-2 7-6(4),Roger Federer beat Marcos Baghdatis
2,5,1,7,6-3 6-4 6-4,Roger Federer beat Andre Agassi
2,6,0,1,5-7 6-4 5-7 7-6(6) 9-7,Marat Safin beat Roger Federer
2,7,-1,-1,,Player did not play this match
3,1,1,11,6-2 6-3 6-2,Roger Federer beat Denis Istomin
3,2,1,13,6-1 6-4 6-0,Roger Federer beat Florian Mayer
3,3,1,8,6-3 6-4 6-3,Roger Federer beat Max Mirnyi
3,4,1,7,6-4 6-0 3-6 4-6 6-2,Roger Federer beat Tommy Haas
3,5,1,0,6-4 3-6 7-6(7) 7-6(5),Roger Federer beat Nikolay Davydenko
3,6,1,11,6-3 5-7 6-0 6-2,Roger Federer beat Nicolas Kiefer
3,7,1,10,5-7 7-5 6-0 6-2,Roger Federer beat Marcos Baghdatis
4,1,1,10,7-5 6-0 6-4,Roger Federer beat Bjorn Phau
4,2,1,11,6-2 6-3 6-2,Roger Federer beat Jonas Bjorkman
4,3,1,7,6-3 6-3 7-6(5),Roger Federer beat Mikhail Youzhny
4,4,1,9,6-2 7-5 6-3,Roger Federer beat Novak Djokovic
4,5,1,6,6-3 7-6(2) 7-5,Roger Federer beat Tommy Robredo
4,6,1,12,6-4 6-0 6-2,Roger Federer beat Andy Roddick
4,7,1,5,7-6(2) 6-4 6-4,Roger Federer beat Fernando Gonzalez
5,1,1,15,6-0 6-3 6-0,Roger Federer beat Diego Hartfield
